indexCol,isMIVDriver,hhPersonID,tripID,tripWeight,tripScaleFactor,tripStartClock,tripEndClock,tripPurpose,tripDistance,tripStartYear,tripStartMonth,tripStartWeek,tripStartWeekday,tripStartHour,tripStartMinute,tripEndHour,tripEndMinute,tripEndNextDay,tripIsIntermodal,ST_WOTAG_str,zweck_str,timestamp_st,timestamp_en,shareStartHour,shareEndHour,noOfFullHours,fullHourTripLength
10001952.0__1,1,10001952.0,1,0.4917452,131.79848558487353,40200.0,41700.0,7,9.5,2017,4,16,2,11,10,11,35,0,0.0,TUE,LEISURE,2017-04-25 11:10:00,2017-04-25 11:35:00,1.0,0.0,0,0.0
10001952.0__2,1,10001952.0,2,0.4917452,131.79848558487353,64800.0,67500.0,8,9.5,2017,4,16,2,18,0,18,45,0,0.0,TUE,HOME,2017-04-25 18:00:00,2017-04-25 18:45:00,1.0,0.0,0,0.0
10002161.0__1,1,10002161.0,1,0.23522347,63.0450437640179,30600.0,32400.0,5,9.5,2017,2,5,3,8,30,9,0,0,0.0,WED,SHOPPING,2017-02-08 08:30:00,2017-02-08 09:00:00,1.0,0.0,0,0.0
10002161.0__2,1,10002161.0,2,0.23522347,63.0450437640179,37800.0,39900.0,8,9.5,2017,2,5,3,10,30,11,5,0,0.0,WED,HOME,2017-02-08 10:30:00,2017-02-08 11:05:00,0.8571428571428571,0.14285714285714285,0,0.0
10002341.0__1,1,10002341.0,1,0.11167146,29.930398968566827,28800.0,29400.0,4,6.18,2017,7,28,6,8,0,8,10,0,0.0,SAT,SHOPPING,2017-07-22 08:00:00,2017-07-22 08:10:00,1.0,0.0,0,0.0
10002341.0__2,1,10002341.0,2,0.11167146,29.930398968566827,33000.0,33300.0,1,1.43,2017,7,28,6,9,10,9,15,0,0.0,SAT,WORK,2017-07-22 09:10:00,2017-07-22 09:15:00,1.0,0.0,0,0.0
10002341.0__3,1,10002341.0,3,0.11167146,29.930398968566827,68400.0,69000.0,8,6.18,2017,7,28,6,19,0,19,10,0,0.0,SAT,HOME,2017-07-22 19:00:00,2017-07-22 19:10:00,1.0,0.0,0,0.0
10002422.0__1,1,10002422.0,1,0.20041257,53.71496186468953,42900.0,43500.0,4,4.75,2017,4,15,4,11,55,12,5,0,0.0,THU,SHOPPING,2017-04-20 11:55:00,2017-04-20 12:05:00,0.5,0.5,0,0.0
10002422.0__2,1,10002422.0,2,0.20041257,53.71496186468953,66300.0,69600.0,7,57.0,2017,4,15,4,18,25,19,20,0,0.0,THU,LEISURE,2017-04-20 18:25:00,2017-04-20 19:20:00,0.6363636363636364,0.36363636363636365,0,0.0
10003121.0__1,1,10003121.0,1,2.0211332,541.7079905133398,41400.0,46800.0,6,104.5,2017,5,18,6,11,30,13,0,0,0.0,SAT,LEISURE,2017-05-13 11:30:00,2017-05-13 13:00:00,0.3333333333333333,0.0,1,69.66666666666666
10003122.0__1,1,10003122.0,1,1.2615885,338.13333922654544,45000.0,46800.0,7,28.5,2017,5,18,6,12,30,13,0,0,0.0,SAT,LEISURE,2017-05-13 12:30:00,2017-05-13 13:00:00,1.0,0.0,0,0.0
10003122.0__2,1,10003122.0,2,1.2615885,338.13333922654544,61200.0,63000.0,8,28.5,2017,5,18,6,17,0,17,30,0,0.0,SAT,HOME,2017-05-13 17:00:00,2017-05-13 17:30:00,1.0,0.0,0,0.0
10003123.0__1,1,10003123.0,1,2.0843728,558.6575639196221,45000.0,46800.0,7,28.5,2017,5,18,6,12,30,13,0,0,0.0,SAT,LEISURE,2017-05-13 12:30:00,2017-05-13 13:00:00,1.0,0.0,0,0.0
10003123.0__2,1,10003123.0,2,2.0843728,558.6575639196221,61200.0,63000.0,8,28.5,2017,5,18,6,17,0,17,30,0,0.0,SAT,HOME,2017-05-13 17:00:00,2017-05-13 17:30:00,1.0,0.0,0,0.0
10003124.0__1,1,10003124.0,1,2.2387269,600.0278795362946,41400.0,46800.0,7,104.5,2017,5,18,6,11,30,13,0,0,0.0,SAT,LEISURE,2017-05-13 11:30:00,2017-05-13 13:00:00,0.3333333333333333,0.0,1,69.66666666666666
10003124.0__2,1,10003124.0,2,2.2387269,600.0278795362946,63000.0,68400.0,8,104.5,2017,5,18,6,17,30,19,0,0,0.0,SAT,HOME,2017-05-13 17:30:00,2017-05-13 19:00:00,0.3333333333333333,0.0,1,69.66666666666666
10003852.0__1,1,10003852.0,1,0.35008195,93.82963630580352,27000.0,28800.0,5,4.75,2017,6,26,2,7,30,8,0,0,0.0,TUE,SHOPPING,2017-07-04 07:30:00,2017-07-04 08:00:00,1.0,0.0,0,0.0
10003852.0__2,1,10003852.0,2,0.35008195,93.82963630580352,31800.0,33300.0,1,4.75,2017,6,26,2,8,50,9,15,0,0.0,TUE,WORK,2017-07-04 08:50:00,2017-07-04 09:15:00,0.4,0.6,0,0.0
10003852.0__3,1,10003852.0,3,0.35008195,93.82963630580352,41400.0,43200.0,8,1.9,2017,6,26,2,11,30,12,0,0,0.0,TUE,HOME,2017-07-04 11:30:00,2017-07-04 12:00:00,1.0,0.0,0,0.0
10005541.0__1,1,10005541.0,1,0.32188088,86.27113095148535,36000.0,36600.0,4,1.81,2017,7,28,2,10,0,10,10,0,0.0,TUE,SHOPPING,2017-07-18 10:00:00,2017-07-18 10:10:00,1.0,0.0,0,0.0
