,uncontrolledCharging,electricityDemandDriving,SOCMax,SOCMin,gridConnectionShare,auxFuelDriveProfile
0,0.11441524028854488,0.003417724452267982,0.9167999992370605,0.03,0.9986653463641452,0.0010837172256425711
1,0.07225999209526733,0.003826208263944484,0.97,0.03,0.9983639729625006,0.00038869419210401686
2,0.023723622260159245,0.0040342107071688164,0.97,0.03,0.9978903861884876,0.0003683600981616223
3,0.011838275229412583,0.004824405315155766,0.97,0.03,0.9969862659835537,0.0002560468420372842
4,0.004046414449811623,0.01748875244633491,0.97,0.14100000000000001,0.991992078184871,0.0004358505187927841
5,0.0017931932677197008,0.0951710741122793,0.8635999984741212,0.2123999938964844,0.9594868041503423,0.0017553536832135013
6,0.005419710408377213,0.22759390505482502,0.7913999938964844,0.20859999990463257,0.8836268136220777,0.004008653721961504
7,0.01762514461620248,0.3484102582096585,0.742,0.19719999694824217,0.7385801007448228,0.004168153442114771
8,0.02746960486657961,0.2326306304233931,0.7166666666666667,0.21534666666666655,0.6235846213458475,0.0026730486072243454
9,0.039339761799123726,0.20724079903681988,0.6963999938964843,0.21052000427246093,0.5404486158350196,0.0028292030826193547
10,0.06928882058490003,0.22388245092267212,0.6736000061035157,0.21239999961853026,0.48211133594523614,0.002866681017781019
11,0.11434674192190071,0.20743939586683213,0.647,0.21280000000000002,0.48800964394885266,0.003697240280707789
12,0.18085106785599397,0.20357231981027019,0.6305333251953126,0.2351999918619791,0.5315365738149568,0.004888315322684789
13,0.2326056719787103,0.24435274864134454,0.6166000003814698,0.239,0.5629224609290912,0.005346893701295896
14,0.23783172180226025,0.2598454753400951,0.5915200042724609,0.2580000019073486,0.5692082490205365,0.00555971068153441
15,0.27100308601413886,0.2772462816956873,0.59,0.27699999999999997,0.5824686786929005,0.005906406337452103
16,0.346664461235391,0.3386296346678619,0.551707693833571,0.258,0.630387049554398,0.007613217376329275
17,0.4700179642370591,0.3255752307975599,0.5130999755859373,0.2124000015258789,0.7050845998191759,0.008983639729625037
18,0.5283543877540151,0.2436074023096494,0.5595999984741211,0.1706000061035156,0.781676497180006,0.007820975588754506
19,0.46381208462089696,0.15683001107094313,0.5900000000000001,0.13906000213623046,0.836009816162225,0.0054079950058121854
20,0.3390279332921714,0.07760198511870806,0.6704363666881215,0.125,0.8841004003960907,0.0039144530072760045
21,0.24808353132652847,0.05434502379000538,0.742,0.0945999984741211,0.9232358892668016,0.0026218926249623213
22,0.1904728423906843,0.05605165039781293,0.7876000061035157,0.03,0.9638351918026434,0.0026294183493348173
23,0.1565704884818226,0.015455661405004109,0.9167999992370605,0.03,0.9941447453394756,0.0017787058165066498
